"title","tomatoMeter","audMeter","summary"
"The Last Full Measure","59%","96%","The Last Full Measure struggles to capture the incidents that inspired it, but ultimately prevails thanks to strong performances in service of a remarkable true story."
"Stray Dolls","54%","","No consensus yet."
